baapiiw'aan	brush dust or
saanwezi	amuse oneself frolic
saawe	perch freshwater fish
sap	net fishnet
sabaabiins	thread
sabaap	cord rope string
sabgoojgan	drying rack for
sabiike	make nets
sabiins	sight line the
sabke	make nets
sabkeshiinh	spider
sadaawendam	grieve
sagdebwe	burr
sagskwaajme	blood sucker leech
sagtakse	be tangled get
same-ggiinwishki	tell lies in
samewendaagzi	seem enterprising
sameyaajmo	talk about different
samnaadwak	play a close
samzi	be a gogetter
san'goo	black squirrel
sanjgon	root cellar storage
sanjgon	cache something stash
se	Yuck
semaa	tobacco
semaake	work with tobacco
semaans	cigarette
sha	emphatic emphatic of
shaangshin	lie around lie
shag'aan	crush sth with
shagbidoon	crumble sth crush
shagbinaa	crumble sth an
shagboodoon	grind sth into
shagboojgan	grinder
shagboonaa	grind sth an
shagganaamaa	crush sth an
shagganaandaan	crush sth by
shaggwezgan	medicine to induce
shagi	great blue heron
shagjiibdoon	crumble sth
shagjiibnaa	crumble sth an
shagjiishkaan	crush sth with
shagjiishkwaa	crush sth an
shagkodaan	chop sth to
shagkonaa	chop sth an
shagmaa	crush sth an
shagnaa	crush sth an
shagnaan	crush sth in
shagndaan	crush sth with
shagnemaa	crush sth an
shagnendaan	crush sth in
shagshimaa	crush sth an
shagshin	crumble from striking
shagshkaan	crush sth with
shagshkawaa	crush sth an
shagsidoon	crush sth by
shagsin	crumble from striking
shagwaa	crush sth an
shagwaadaan	throw up sth
shagwaakshkaan	crush sth with
shagwaakshkawaa	crush sth an
shagwaanaa	throw up sth
shagwe	throw up vomit
shagwezwaa	make smb vomit
shagzaan	cook sth to
shagzhaan	cut sth and
shagzhwaa	cut sth an
shagzideshin	have a mangled
shagzwaa	cook sth an
shakmoonaa	spoonfeed smb
shamaa	feed smb feed
shamaawso	feed ones livestock
shamaawson	feed something to
shamoojgan	bait
shange	feed people
shanjgaazo	be fed
shashwebza	stagger
shashwedkokii	stagger
shashwedyese	stagger
shashwejiimnakse	waddle
shaw'aan	butter sth put
shawaa	butter sth an
shawebde	drive along tilted
shawebdoon	tilt sth aside
shawebnaa	tilt sth an
shawebza	drive along tilted
shawedyeshin	lie on ones
shawejiibgiza	roll quickly onto
shawejiise	fall over sideways
shawejiise	fall over sideways
shawejiishin	lie on ones
shawejiisin	lie on its
shawejiiyebnaa	throw smb onto
shawejiiyebnaan	throw sth onto
shawekna	at the side
shawekwegoojin	have ones head
shawekweni	tilt ones head
shawekweshin	lie with ones
shawekwetaa	tilt ones head
shaweshin	lie on ones
shaweshkaa	be tilted
shaweshkaa	be tilted
shawesin	lie on one
shawetaa	lean to the
shaweyiing	alongside of something
shawgen	use something as
shekshimaa	arrange sth an
shekshinook	be arranged in
sheksidoon	arrange sth in
sheksinoon	be arranged in
sheyaabiisdoon	arrange sth in
sheyaabiishin	be arranged in
sheyaabiishmaa	arrange sth an
sheyaabiisin	be arranged in
shi	and with numbers
shibaawaa	have a hole
shibaayiigin	veil
shibaayiigni-mjigoodenh	dress made of
bshibjige	lose ones footing
shidaakpide	be fastened tightly
shidaakpiza	be fastened tightly
shigan	general word for
shigboodoon	grind sth 
shigboojgan	grinder
shigboonaa	grind sth an
shigjii'aan	crush sth
shigjiiwaa	crush sth an
shigkamga'gan	cultivator
shigkamga'ge	break up the
shigshin	fall to pieces
shigshkaa	crumble
shigshkaa	crumble
shigsin	fall to pieces
shiibendam	be dedicated
shiibtaage	be disobedient
shiibtam	disobey
shiignaapne	have a backache
shinaadat	be ruined fall
shinaadendaagot	be considered ruined
shinaadendaagzi	be considered ruined
shinaadendam	be devastated feel
shinaadkamgizi	make a mess
shinaadzi	be devastated be
shinaaj'aa	waste sth an
shinaaji-yaa	be ruined
shinaajtoon	waste sth
shining	shilling bit monetary
shka'aa	new thing
shka'ii	new thing
shka'iiwan	be a fresh
shka'iiwi	be a fresh
shka'mii	have ones feet
Shkaabewis	helper in ceremonies
shkaakdiyebi	have a tired
shkamoonaa	stuff something in
shkanzhiikaajgan	horseshoe
shkendam	grieve deeply
shki'aa	new thing
shki'aawan	be a fresh
shki'aawi	be a fresh
shki'ii	new thing
shki-	new  2
shki-	first for the
Shki-bboon-giisoons	January Little Newwinter
shki-zhwendaagzi	receive First Communion
shkigaabwi	be tired from
shkigi	be a new
shkigin	be a new
shkiinzhgokaajgan	monocle
shkiinzhgokaajganan	eye glasses
shkiinzhgwaapne	have an eye
shkikmaan	lead metal a
shkikmaanaaboo	solder
shkikmaanens	bullet
shkime	lace snowshoes
shkinaagot	look new
shkinaagzi	look new
shkiniigi	youth hired hand
shkiniigi	be young
shkiniigish	male teenager young
shkiniigkaazo	pretend to be
shkiniigkwe	teenage girl young
shkiniignaagzi	look young look
shkinwe	young man male
shkinwekaazo	pretend to be
shkinwewi	be a young
shkizde	have ones feet
shkizdegaabwi	have ones feet
shkoboodoon	leave sth fallow
shkoboonaa	leave sth an
shkode	fire
shkode-daabaan	train railroad train
shkode-daabaan	train railroad train
shkode-jiimaan	steamboat
shkode-jiimaan	steamboat
shkodens	match for lighting
shkodewaaboo	whiskey
shkomaa	leave sth an
shkon'gan	reservation American term
shkon'ge	leave things behind
shkonaa	leave sth an
shkonaan	leave sth untouched
shkondaan	leave sth uneaten
shkonjgan	leftovers
shkonmawaa	leave something behind
shkonnaa	leave smb alive
shkoopnaa	tie smb up
shkose	be left over
shkose	be left over
shkosen	have something left
shkozhaan	cut sth and
shkozhgan	remnants from cutting
shkozhwaa	cut sth an
shkwaa-	after doing something
shkwaa-aabdat	be no longer
shkwaa-aabdizi	be no longer
shkwaa-kiiwan	be the end
shkwaa-nakiikmigat	work be over
shkwaach	last in a
shkwaagza	be the end
shkwaakmigat	be over of
shkwaandem	door
shkwaataa	die  2
shkwaawaasge	die  2
shkwaay'iing	behind
shkwaayaaj	last in sequence
shkwaayaasge	be the end
shkwamaa	leave sth an
shkwandaan	leave sth uneaten
shkwedaagan	youngest child last
shkwenjiins	little finger
shkwenoozwin	last name surname
shkweyaang	at the end
shoo'aan	paint with sth
shoobiig'aan	paint sth liberally
shoobiigwaa	paint sth an
shoodaakshimaa	lay sth an
shoodaakshin	lie flush with
shoodaakshkaan	be pressed up
shoodaakshkawaa	be pressed up
shoodaaksidoon	lay sth flush
shoodaaksin	lie flush with
shoodaan	rub something on
shoodnaa	press sth an
shoodnaan	press sth on
shoogaaden	rub something pasty
shoogaadenaa	rub something pasty
shoogan	butter spread condiment
shoogen	spread something on
shoon'ken	rub something pasty
shoon'kenaa	rub something pasty
shoonaa	rub sth an
shoonaan	rub sth on
shoondben	rub something pasty
shoondbenaa	rub something pasty
shoonjiin	rub something pasty
shoonjiinaa	rub something pasty
shoosga'aan	paint sth in
shoosga'mawaa	paint something for
shoosgage	paint in nonartistic
shoosgawaa	paint sth an
shoowaa	paint with sthan
shoowaawganenaa	rub something pasty
shoozden	rub something pasty
shoozdenaa	rub something pasty
shoozhen	rub something pasty
shpa'ooza	hang high be
shpaa	be high
shpaa'aa	make smb excited
shpaagnagaa	be deep snow
shpaatmawaa	make something high
shpaatoon	make sth high
shpaazi	be apprehensive
shpadnaa	be a high
shpagmaa	charge lots for
shpagmo	soar
shpagndaan	charge lots for
shpagnde	be costly be
shpakmigaa	be high ground
shpangza	be costly be
shpashkaa	be high grass
shpendiza	be a snob
shpide-dbik	in the middle
shpijiishin	be heaped up
shpijiisin	lie in such
shpiming	above on high
shpimsagkaade	have an upstairs
shpimsagoong	upstairs
shpinaa	hold sth an
shpinaan	hold sth high
shpinmawaa	hold something high
shpisdoon	pile sth high
shpishin	be piled high
shpishmaa	pile sth an
shpisin	be piled high
shpizi	be high
shtaahaa	holy holy cow
shtaataahaa	holy holy cow
shwaachgwaasang	applique
shwii	but though
siboodmawaa	sharpen something for
siboodoon	file sth to
siboodwaa	sharpen something for
siboojgan	file whetstone
siboonaa	file sth an
sigam	Sicem Attack
sigban'gamde	of the way
signaak	general word for
signaawish	earthworm
siidaanwi	play hooky
siikzi	be older than
siim'oonh	wood duck
sin	rock stone
sin'kikaa	be rocky of
sin'kiki	rocky ground
sinaamish	sugar maple
sindbepzowin	decorative headband
sinii-waagaakot	stone axe
siniikaa	be rocky
siniikaajgan	stone foundation stone
siniiswaapne	have gallstones
siniiswidaawang	gravel bed
sipnigan	scissors
ska'aagan	tent pole
ska'aan	drain a well
ska'win	cane crutch
skaabkizaan	boil sth dry
skaabkizwaa	boil sth an
skaan	sconetype biscuit scone
skaan	sconetype biscuit scone
skakii'ge	be a best
skan'zi	be lean be
skanaabiigzi	be skinny
skanjiin	berry  buds
skate	dry up of
skigmide	boil dry
skigmiza	boil dry
skigmizaan	boil sth dry
skigmizekwe	boil things down
skigmizge	boil things down
skigmizwaa	boil sth an
skisdoon	insert the tip
skishin	the tip of
skishmaa	insert the tip
skisin	the tip of
skoon'gamik	school school building
skoonwi	be at school
skoonwikdaan	study sth work
skowo	use a cane
soodii	baking soda
soodiins	a pinch of
sosdam	cough
sosdamookaaza	pretend to cough
sosnaamshkaagon	be made to
spaajiinaa	give smb a
spobdoon	pull sth together
spobjigaade	be closed eg
spobjigaaza	be closed
spobjige	pull things closed
spobnaa	pull  sth
spodyaamaa	sit on smb
spodyaandaan	wear sth really
spogi	close up heal
spogin	close up heal
spogwaadaan	sew sth together
spogwaanaa	sew sth an
spokmigse	cave in close
sponemaa	swallow up sth
sponendaan	swallow up sth
spwegaabkagnaamaa	dent sth an
spwegaabkagnaandaan	dent sth by
spwegaabkisdoon	dent sth from
spwegaabkishin	be dented get
spwegaabkishkaan	dent sth by
spwegaabkishkwaa	dent sth an
spwegaabkishmaa	dent sth an
spwegaabkisin	be dented get
swe'oondim	be distributed be
sweb'idwak	disperse running scatter
swebde	disperse flying scatter
swebiig'anjge	sprinkle water
swebza	disperse flying scatter
swegi	spread out in
swegin	spread out in
swegmishin	leap and splash
swekaa	spread out
swekaawak	spread out
swese	scatter splash splinter
swese	scatter splash splinter
sweshkaa	break up disperse
sweshkaa	break up disperse
swewebnaa	scatter sth an
swewebnaan	scatter sth sow
swewebnigan	spreader
swewebnige	scatter things about
sweyaajma	spread news 
swii	but though
taadbii	work fast
taadbinese	breathe fast pant
taadwak	bet one another
taage	compete in a
taasjigan	doily
taasoowgamik	storage shed tool
taaswin	cabinet cupboard dresser
taayaa	Holy smokes oops
tajaagwan	gar a kind
tamaa	draw on sth
tamwaa	place something for
tasenwan	be Halloween
tawaa	bet smb compete
te	be in a
tibaakse	get caught around
tibaakse	get caught around
tibaakwegnaa	roll sth an
tibaakwegnaan	roll sth up
tibdoowan	wheel of a
tibgwaadaan	sew along the
tibgwaanaa	sew along the
tibninjiibzon	ring for the
tibninjiibzowin	ring for the
tiboodoon	roll sth of
dikon	branch of plant
tisaan	colour sth dye
tisgan	dye paint
tisge	dye ones hair
tiswaa	colour sth an
toobaajgan	vat
toon	place sth in
wa	it an that
wa-	go and do
waa	use sth an
waa'oonenh	whippoorwill
waa'oonwenh	whippoorwill
waab-gaak	white porcupine
waab-gekek	marsh hawk
waab-gookook'oonh	snowy owl
waab-gookookoonh	wedding cake
waab-signaak	bobolink
waabaabkaa	be pale of
waabaabkide	be whitish from
waabaabkizi	be whitish from
waabaagmiingwe	have gray eyes
waabaakot	be gray of
waabaakzi	be gray of
waabaan'kot	gray cloud white
waabaande	be gray be
waabaanza	be gray be
waabaasa	be faded by
waabaate	be faded by
waaban	be dawn be
waabang	tomorrow
waabde	be ripe ripen
waabgan	clay
waabgan'igaade	be in a
waabgan'ige	plaster a wall
waabgon	blossom
waabgonoojiinh	mouse
waabi	see be able
waabi-mnoomin	white rice
waabiingwe	be palefaced as
waabjiiyaa	be gray be
waabjiizi	be gray be
waabkwaan	a strand of
waabkwe	get gray hair
waabmaa	see smb 
waabmin	apple
waabmin'gat	be pale of
waabmin'gizi	be pale of
waabnaabooza	drink till dawn
waabnaagot	look pale look
waabnaagzi	look pale look
waabnda'aa	show something to
waabnda'diwak	show things to
waabnda'we	exhibit things
waabndaan	see sth 
waabndamaagen	see something belonging
waabndame	be able to
waabndamwaa	see something belonging
waabndan'kaajgane	examine things take
waabndetoo	be out visiting
waabndiwak	see one another
waabni-shamaa	feed smb until
waabni-taage	gamble until dawn
waabnigiishwesiins	least bittern bird
waabnjimzin'igne	look at a
waabnong	east in the
waaboos	rabbit
waaboowaanbak	common mullein herbaceous
waabooyaan	blanket
waaboozoo	rabbit
waaboozoonh	rabbit
waabshkaa	be gray be
waabshkaabde	have white teeth
waabshkaabkat	be white of
waabshkaabkizi	be white of
waabshkaagmi	be white of
waabshkaagnesin	be lightly sprinkled
waabshkaakgaabwi	be white of
waabshkaanzaan	colour sth white
waabshkaanzwaa	colour sth an
waabshkat	be gray be
waabshki-tisaan	paint sth white
waabshkidsaan	paint sth white
waabshkidye-aamoo	species of large
waabshkiigaans	handkerchief
waabshkiigin	white cloth
waabshkiiwe	be white in
waabshkindbe	be whiteheaded have
waabshkizi	be gray be
waabshkoki	marsh
waabza	be ripe ripen
waabzi	be pale be
waabzidaamaa	leave smb in
waabzii	swan whistling swan
waagaa	be bent be
waagaakdaatgoke	make axe handles
waagaakdaatik	axe handle
waagaakdoons	hatchet
waagaakdwaanaatik	axe handle
waagaakot	axe
waagbide	move in a
waagbinwenh	screech owl
waagbiza	move in a
waaggi	grow bent grow
waaggin	grow bent grow
waaggizi	be warped of
waagjaane	have a curved
waagjiitaa	bend bend over
waagkaagan	rainbow
waagnaagot	look twisted
waagnaagzi	look twisted
waagnen	what
waagosh	fox
waagosh-weyaan	fox pelt
waagshenh	fox
waagshkaa	be bent bend
waagshkaa	be bent bend
waagshkoode	be bent from
waagshkooza	be bent from
waagzi	be bent be
waak	fish egg
waak	fish egg
waakaa'gan	fort any circular
waakaabtoo	run in a
waakaashkaan	circle sth go
waakaashkwaa	circle sth an
waakaawse	walk around something
waaknak	lichen
waakoonsak	fish eggs roe
waakwaagmiingwe	have blue eyes
waakwiing	in heaven
waan'aa	make good use
waan'kaadaan	dig sth out
waan'kaan	hole in the
waan'kaanaa	dig sth an
waan'ke	dig a hole
waan'kii	be safe from
waan'kiiyendam	feel safe feel
waandizo	be rich
waandoosbiisin	be puddles of
waanji-	most to the
waanjiinat	be abundant be
waanjiini	be abundant be
waannashkaanh	prostitute
waannibde	drive around something
waannibtoo	run around something
waannibza	drive around something
waannishkaa	follow a roundabout
waannishkaan	circle sth go
waannishkwaa	circle sth an
waannose	walk around something
waantoon	make good use
waanzh	cave den lair
waapoone	butterfly
waasa	far far away
waasaabkide	glitter sparkle be
waasaabkiza	glitter sparkle be
waasaabzi	be blinded by
waasaagnashk	species of reed
waasbakwede	reflect light from
waasbakweza	reflect light from
waasechgan	window
waasechganaabik	glass windowpane
waasechganiigin	window curtain
waasenjgamwaa	shine a light
waasenjge	shine a light
waasete	be bright in
waaseyaa	be light out
waaseyaabi	see light
waaseyaagmi	be clear of
waaseyaazi	be radiant be
waasgan	pepper the spice
waasgang	pepper the spice
waasgang-kosmaan	bell pepper sweet
waasheyaagmi	be translucent of
waashkiiwgizde	have ones skin
waashkiiwgizi	have ones dermis
waasii	catfish
waasiinh	catfish
waaskode	shine be bright
waaskogzhiichge	put nail polish
waaskojii'aan	polish sth shine
waaskojiimawaa	polish something for
waaskojiiwaa	polish sth an
waaskone	glow be lit
waaskone	glow be lit
waaskonebjige	turn the lights
waaskonechgaans	flashlight  2
waaskonechgan	lamp lantern light
waaskonechganaaboo	kerosene
waaskonendaan	shine a light
waaskonendwaa	shine a light
waaskonenjgan	light for illumination
waaskonenjge	shine a light
waaskonese	come on flash
waaskonese	come on flash
waaskosga'aan	polish sth varnish
waaskosga'gan	varnish
waaskosga'ge	polish the floor
waaskosgawaa	polish sth an
waaskozi	shine be bright
waasmo	flash lightning commonly
waasmowin	electricity hydro 
waasnoode	be northern lights
waaswaa	jacklight esp use
waaswat	be distant be
waaswendaagot	seem far
waaswendaan	have sth seem
waataawaa	Well what do
waatko'ge	signal someone to
waatko'mawaa	signal smb to
waawaabgonoojiinh	mouse
waawaabmaa	stare at smb
waawaabmowin	mirror
waawaabndaan	stare at sth
waawaach	even expressing a
waawaaggaade	be bowlegged
waawaanak	in ample time
waawaanwewdam	have garbled speech
waawaashkesh	deer
waawaashkeshi	deer
waawaashkeshi-giiwse	hunt deer
waawaashkeshi-weyaan	deer pelt deer
Waawaaskone-giizis	May Flower Moon
waawaaskonenh	flower
waawaatesi	firefly
waawaatko'aa	beckon to smb
waawaatko'ge	beckon someone to
waawan	egg
waawan-kokbinaagan	Easter basket
waawen'gan	bushel basket
waawiikaa	infrequently sporadically
waawiinaa	name smb give
waawiindaan	name sth
waawiindmawaa	promise smb something
waawnaaboo	raw egg
waawnaatese	be funny of
waawnaatese	be funny of
waawndoosbiisin	be puddles
waawnendaagzi	be funny fool
waawnendam	be amused find
waawni'aa	give smb whats
waawnimaa	put smb in
waawninaagot	be cute look
waawninaagzi	be cute look
waawnitaan	find sth that
waawnitwaa	find smb that
waawnizi	get whats coming
waawnoons	birds egg
waawoono	howl
waawye-	round
waawye-bgaan	walnut
waawyegwaa	hew sth an
waawyemoowe	have round droppings
waawyesdoon	set sth down
waawyese	twister tornado
waawyeshmaa	set sth an
waawyeyaa	be round
waawyeyaabkizi	be round 
waawyezi	be round
waayaak	hickory
waazh	cave den lair
wadi	there over there
wagdagwen	something or other
wakaan	farm animal
wakaan'gamik	barn for animals
wan	be foggy
wanbiisaa	be a drizzling
wanbiisaan	be a drizzling
wanmaa	confound smb with
was	Scat Shoo Go
was-odi	way over there
was-oodi	way over there
washme	more than another
washta	farther beyond yonder
washtibi	then
wasnaago	day before yesterday
waswaabang	day after tomorrow
waya	any anyone singular
web'ajii	remove manure
webaasdoon	blow sth away
webaashi	blow away be
webaashmaa	blow sth an
webaasin	blow away
webaawngwe	remove ashes
webi-	begin to do
webii	go take off
webiichgediikmigat	be a race
webiichgedwak	race one another
webkamgat	start get underway
webnaa	abandon smb throw
webnaan	abandon sth throw
webtaa	start doing something
wedaase	brave hero
wedi	that over there
wegdagwenish	jerk someone behaving
wegdogwen	whatever
wegnen	what
wegnesh	who what an
wegnesh	what  2
wegwen	somebody or other
wegwen	something or other
wegwenh	goodfornothing soandso no
wegwenh	goodfornothing soandso no
wegwenshidik	goodfornothing soandso no
Wemtigoozhii	Frenchman
Wemtigoozhiibii'aan	write sth in
Wemtigoozhiibii'ge	write in French
Wemtigoozhiima	speak French
Wemtigoozhiimtawaa	speak French to
wenaabmaa	choose sth an
wenaabndaan	choose sth select
wenaabnjige	choose select look
wenaakdabi	sit down
wenaakshin	lie down
wenbi	sit down take
wenbik	for a little
wenbise	flop down to
wenda-	of no special
wenda-gnebik	garter snake
wendgo	virtually almost to
wendzi	be easy find
wene	who interrogative used
wene	what
wenen	who interrogative used
wenen	what
wenesh	who what an
wenesh	who what an
weniijaanit	mother
wenjishing	a thing of
wenjishit	a thing of
wenpan'zi	be easy be
wenpanat	happen easily be
wenpazhnewaa	buy sth an
wenpazhne'aan	buy sth at
wepdaan	hit sth strike
wepdamwaa	hit something belonging
wepdawaa	hit smb strike
wepjigaans	hammer
wepjigan	baseball bat
wepjigen	hit an object
weshimaa	arrange sth an
weshin	lie down
weshoowdabi	sit at the
weshoowshin	be prepared lie
weshoowsin	be prepared lie
wesiinh	animal creature
wewaagaag	banana
wewebaabii	fish with a
wewebaabiiggaadese	swing ones leg
wewebaabiignaa	swing sth an
wewebaabiignaan	swing sth of
wewebaabiigshkaan	swing sth with
wewebaabiigshkawaa	swing sth an
wewebaanwese	wag ones tail
wewebaashi	flap in the
wewebaasin	flap in the
wewebdaamkagnese	chew with ones
wewebnaa	swing smb on
wewebnaabii	icefish
wewebnaan	swing sth
wewebza	swing in playing
wewebzowin	swing the device
wewena	carefully with care
weweni	properly good well
wewenjganoonh	longeared owl Asio
wewenong	with ample space
wewiibendaagot	be urgent be
wewiibendaagzi	be urgent be
wewiibshkaa	be back quick
wewiibtaa	be quick in
wewiimgwaagens	Bluewinged teal Anas
wewiinbaanh	squash
wewiip	quickly in a
weyiiban	by all means
weyoosit	a mans child
wezh'aa	dress smb up
wezh'o	dress up paint
wezhnge	cheat at a
wezhsa'aa	deke smb make
wezhsidoon	arrange sth put
wezhtoon	fix sth up
wi	that inan it
wi'aa	lend something to
wi'wen	lend something
wi-	go and do
wibaa	carry sound far
widi	there over there
wii	it an her
wii 	darn shit no
wiihaa 	No way expressing
wiishi 	Darn Shit
wii'gadoonh	an item of
wii'gi'aa	waste sth an
wii'gine	have ones death
wii'ginnaa	waste smbs life
wii'gishin	be injured from
wii'gitoon	waste sth shamefully
wii-	going to do
wii-debweshki	always want to
wiiba	early  2
wiibge	have a small
wiibte	be small have
wiidbimaa	sit beside smb
wiidge	marry be married
wiidgemaa	live with smb
wiidgemaagni	be married get
wiidgendwaa	live with smb
wiidgendwak	live together be
wiidookaaza	help others 
wiidooke	help be a
wiidookwaa	help smb give
wiidoopmaa	eat with smb
wiidoopndiwak	eat with each
wiidoopnge	eat with others
wiidsemaa	walk with smb
wiig'asiinh	dustballs
wiigbaatik	American basswood
wiigbiish	American basswood
wiigbiishaatik	American basswood
wiigbimizh	American basswood
wiigbimzhii-nagek	basswood bark
wiigendaagot	be considered a
wiigendaagzi	have ones death
wiigob-nagek	basswood bark
wiigop	basswood bark
wiigwaam	house  2
wiigwaamens	bathroom outhouse toilet
wiigwaas	paper birch
wiigwaas	birchbark
wiigwaas-mkak	birchbark box
wiigwaasaatik	paper birch
wiigwaasmin	cherry
wiigwaasminaatik	cherry tree
wiigwaasmish	paper birch
wiigwaaso-mtik	paper birch
wiigwaatik	paper birch
wiigweke	build a house
wiijbatoomaa	run around with
wiijbatoonge	run around with
wiijbiimaa	get drunk with
wiijgaabwitwaa	stand with smb
wiijgaamaa	dance with smb
wiijgaandwak	dance with each
wiijgendwaa	live platonically with
wiiji-	with
wiiji-dnakiinge	reside with another
wiiji-mnikwemaa	drink with smb
wiiji-piitziimaa	be the same
wiijiindwak	accompany one another
wiijiiwaa	accompany smb go
wiijiiwe	accompany people join
wiijiiwechge	arrange a mating
wiijiiwewin	membership
wiijiyaawaa	live with smb
wiijkewendiwak	be friends with
wiijkewenmaa	befriend smb be
wiijnakiimaa	work with smb
wiijsemaa	walk with smb
wiikaa	ever  2
wiikbidoon	pull sth tug
wiikbijgan	drawer
wiikbinaa	pull sth an
wiikboodoon	suck sth up
wiikboonaa	suck sth an
wiikdaabaadaan	pull sth dragging
wiikdaabaanaa	pull sth an
wiikdaabii	pull something
wiikenh	sweet flag waterside
wiikji'aa	try sth an
wiikjitoo	try
wiikjitoon	try to accomplish
wiikjiwnaa	invite smb ask
wiikjiwnakii	invite several people
wiikmaa	invite smb to
wiikmaa	suck sth an
wiikndaan	suck sth
wiiknge	invite people to
wiikpidoon	tie sth up
wiikpinaa	tie sth an
wiiksa'aa	pull sth an
wiiksatoon	pull sth with
wiikse	jerk from being
wiikse	jerk from being
wiikwaaboode	be pulled by
wiikwaabooza	be pulled by
wiikwaan	cap hat
wiikwaashi	be pulled by
wiikwaasin	be pulled by
wiikwe'o	have something draped
wiikwe'on	drape something over
wiikwebiiyaa	be a bay
wiikwebjigan	love medicine
wiikwebnaa	put smb under
wiikwegmaa	be a bay
wiikwejiipdoon	wrap sth
wiikwejiipnaa	wrap sth an
wiikwemik	bay with a
wiikwendbebzon	baboushka kerchief
wiikwendbepza	wear a kerchief
wiikwepdoon	wrap sth
wiikwepnaa	wrap sth an
wiikwet	bay
wiikweyaa	be a bay
wiikweyaakwaa	be semicircular of
wiikwii	pull at something
wiikwiichge	have a horsepull
wiikzomaa	coax smb entice
wiimbaawaa	be hollow be
wiimbgan	marrow
wiimbnaate	soot
wiimbnakat	be hollow
wiimbnakdoonh	hollow log hollow
wiimbnakzi	hollow tree
wiimbnakzi	be hollow 
wiimbwewe	sound hollow
wiimbwewe	sound hollow
wiin	it an he
wiin'aa	get smb dirty
wiin'gamgwe	have a dirty
wiin'kamgizi	dirty things up
wiin'zik	yellow birch
wiinaabiigat	be dirty all
wiinaabiiggaade	have dirty legs
wiinaabiiggwewe	have a dirty
wiinaabiigzi	be dirty all
wiinaabiigzide	have dirty feet
wiinaagmi	be dirty of
wiinaan'giingwe	have a dirty
wiinaange	turkey vulture
wiinaapne	get VD have
wiinan	fat
wiinat	be dirty
Wiinbiigoo	HoChunk Indian formerly
wiindgoo	windigo cannibal icemonster
wiindgoo-bneshiins	eastern kingbird
wiindgoowi	be a monster
wiindmaage	relate information tell
wiindmaagoowewzi	be informed of
wiindmawaa	inform smb of
wiinendaan	consider sth dirty
{n}wiinendip	my brain
wiinenmaa	consider smb dirty
wiingash	sweet grass
wiingashk	sweet grass
wiinge	entire entire group
wiinge-	completely entirely thoroughly
wiingezi	be careful in
wiingshkogwaasa	sew sweetgrass
wiingshkoo'iin	sweet grass basket
wiinis	lech lecher
wiinjaane	be snotty nosed
wiinjiinaa	dirty sth an
wiinjiinaan	dirty sth by
wiinjiishkwigaa	be muddy outside
wiinmaa	speak unpleasantly about
wiinnaagot	be dirty of
wiinnaagzi	be dirty of
wiinnajiinh	fatso
wiinndaan	speak unpleasantly about
wiinndibe	have a dirty
wiinninjii	have dirty hands
wiinninjiishin	get ones hands
wiinno	be fat of
wiinno'aa	fatten sth an
wiinnochgaaza	be fattened
wiinnonaagzi	look fat of
wiinsagaa	be dirty of
wiintaagot	sound dirty
wiintaagzi	say something dirty
wiintaan	find something that
wiintamwaa	dirty something belonging
wiintawaa	find something that
wiintoon	get sth dirty
wiinwaa	they an them
wiinzi	be dirty be
wiinzide	have dirty feet
wiinzideshin	get ones feet
wiinziikaajge	dirty the floor
wiinziikge	dirty the floor
wiinzis	a strand of
wiinzop	gall bladder
wiipe	have sex with
wiipemaa	share a bed
wiipendaan	sleep with sth
wiisgaagmi	be bitter taste
wiisgaak	black ash
wiisgaakdiiyebi	have a pain
wiisgaakke	collect black ash
wiisgagnaamaa	hurt smb in
wiisgan	be bitter taste
wiisgendan	be acutely upset
wiisgendmi'aa	hurt smbs feelings
wiisgibnaa	hurt smb in
wiisgide'etwaa	hurt smb emotionally
wiisgidemaa	make smb acutely
wiisgimaagot	smell like urine
wiisgimaagzi	smell like urine
wiisgindbe	have a painful
wiisgine	be hurting
wiisginezi	be in pain
wiisgipgot	be bittertasting taste
wiisgipgozi	be bittertasting taste
wiisgishin	hurt oneself in
wiisgishkwaa	hurt smb with
wiisgitoo	suffer be in
wiisgizi	be bitter
wiishkba'aan	sweeten sth put
wiishkbaagmi	be sweettasting taste
wiishkban	be sweet of
wiishkbanjge	eat sweet stuff
wiishkbawaa	sweeten sth an
wiishkbinnii	a person with
wiishkbipgot	be sweettasting taste
wiishkbipgozi	be sweettasting taste
wiishkbizi	be sweet
wiishkbiziiwpogot	taste sweet and
wiishkbiziiwpogzi	taste sweet and
wiishksaan	smoke sth 
wiishkswaa	smoke sth an
wiishktemaagot	smell smoky
wiishktemaagzi	smell smoky
wiishktewgamik	smoke house
wiiskgashkzi	have a screechy
wiiskwizi	sense missing
wiisni	eat
wiisniikaaza	pretend to eat
wiisniikmigat	be eating going
wiisniwaagan	table SEO 
wiisniwin	 food 
wiiwegjiinaa	wrap sth an
wiiwegjiinaan	wrap sth up
wiiwjiinaa	wrap smb up
wiiwkwaan	cap hat
wiiwkwejiinaa	wrap smb up
wiiwkwenaan	wrap sth up
wiiwkwendbebzon	baboushka kerchief
wiiyaas	flesh meat
wiiyaaswaaboo	gravy  2
wiiyaaswan	be meaty
wiiyaaswi	be meaty
wiizh	animals lodge
wis	Scat Shoo
wiya	someone something animate
wizhzi	wave ones money
wizo	warm oneself up
wjepaadzi	be agile be
wjepzi	be athletic be
Wjibwemo	speak Chippewa speak
